lbr_σ,rbr_σ,th_α,nIntervals,Power,Power_SDE,TypeI,TypeI_SDE
-2.7,5.9,-0.4,4,0.961,0.0027378458685616337,0.1976,0.005631238584894091
-2.6,5.9,-0.4,4,0.9262,0.003697392594788927,0.1324,0.004793125076607119
-2.5,5.9,-0.4,4,0.8906,0.004414332112562444,0.0912,0.004071426285713644
-3.5,6.0,-0.4,4,1.0,0.0,0.8626,0.004868700853410486
-3.4,6.0,-0.4,4,1.0,0.0,0.8006,0.005650480333564572
-3.3,6.0,-0.4,4,0.9982,0.0005994597567810576,0.7222,0.006334463828928223
-3.2,6.0,-0.4,4,0.9972,0.000747283078893136,0.6382,0.006795597986932423
-3.1,6.0,-0.4,4,0.9954,0.000956957679315031,0.5336,0.007055083840749166
-3.0,6.0,-0.4,4,0.9924,0.00122818891055082,0.4418,0.007023001637476671
-2.9,6.0,-0.4,4,0.9804,0.0019603999591919987,0.337,0.006684773743366338
-2.8,6.0,-0.4,4,0.9682,0.0024814818153675857,0.247,0.006099032710192658
-2.7,6.0,-0.4,4,0.9458,0.003201948156981934,0.174,0.00536141772295351
-2.6,6.0,-0.4,4,0.9146,0.003952387632811337,0.1084,0.004396576850232462
-2.5,6.0,-0.4,4,0.8714,0.004734174479251901,0.0712,0.0036367721952302702
-3.5,6.1,-0.4,4,1.0,0.0,0.8412,0.0051688017953874
-3.4,6.1,-0.4,4,0.9994,0.0003463062228721987,0.7774,0.0058830135134979936
-3.3,6.1,-0.4,4,0.999,0.0004469899327725404,0.6776,0.0066099658092913
-3.2,6.1,-0.4,4,0.9954,0.000956957679315031,0.585,0.006968141789602161
-3.1,6.1,-0.4,4,0.9934,0.0011451148414023853,0.4826,0.007066784841779181
-3.0,6.1,-0.4,4,0.989,0.0014750593208410305,0.372,0.006835437074540296
-2.9,6.1,-0.4,4,0.978,0.0020744155803502835,0.2798,0.006348416495473497
-2.8,6.1,-0.4,4,0.961,0.0027378458685616337,0.206,0.005719510468562847
-2.7,6.1,-0.4,4,0.9372,0.00343092290790685,0.1434,0.004956539922163444
-2.6,6.1,-0.4,4,0.8852,0.004508236018666281,0.0944,0.0041349399028280925
-2.5,6.1,-0.4,4,0.8342,0.005259474498464652,0.065,0.0034864021569520637
-3.5,6.2,-0.4,4,1.0,0.0,0.7986,0.005671649495517155
-3.4,6.2,-0.4,4,0.9994,0.0003463062228721987,0.725,0.0063146654701575445
-3.3,6.2,-0.4,4,0.9984,0.0005652326954449903,0.6376,0.006798032656585286
-3.2,6.2,-0.4,4,0.9944,0.0010553331227626706,0.5446,0.0070428806606387985
-3.1,6.2,-0.4,4,0.99,0.0014071247279470295,0.431,0.007003413453452538
-3.0,6.2,-0.4,4,0.984,0.0017744858410255076,0.3436,0.006716234659390632
-2.9,6.2,-0.4,4,0.9694,0.002435719195638116,0.259,0.006195466084161869
-2.8,6.2,-0.4,4,0.9432,0.0032733395790843322,0.181,0.005444979338803775
-2.7,6.2,-0.4,4,0.9144,0.00395658034165869,0.1302,0.004759158749190869
-2.6,6.2,-0.4,4,0.8704,0.004749817680711545,0.0772,0.003774656540666978
-2.5,6.2,-0.4,4,0.807,0.005581236422155936,0.0604,0.0033690307211422105
-3.5,6.3,-0.4,4,0.999,0.0004469899327725404,0.7628,0.006015582432316924
-3.4,6.3,-0.4,4,0.9976,0.0006919884392097831,0.6898,0.0065418034210758735
-3.3,6.3,-0.4,4,0.9984,0.0005652326954449903,0.5894,0.006957120668782452
-3.2,6.3,-0.4,4,0.993,0.0011790674280973083,0.4964,0.0070708845274123945
-3.1,6.3,-0.4,4,0.9886,0.001501335405563991,0.3986,0.006924132292208172
-3.0,6.3,-0.4,4,0.9762,0.002155623343722184,0.2892,0.006411916406192457
-2.9,6.3,-0.4,4,0.9526,0.0030051036587778464,0.2216,0.005873558376316694
-2.8,6.3,-0.4,4,0.9298,0.003613086215411972,0.1552,0.005120799937509764
-2.7,6.3,-0.4,4,0.8912,0.004403692995657168,0.099,0.004223718740636029
-2.6,6.3,-0.4,4,0.843,0.0051449198244481915,0.062,0.003410454515163631
-2.5,6.3,-0.4,4,0.7684,0.005965927253998325,0.0604,0.0033690307211422105
-3.5,6.4,-0.4,4,0.9984,0.0005652326954449903,0.732,0.006263800763114996
-3.4,6.4,-0.4,4,0.997,0.0007734339015067807,0.6454,0.00676548357473433
-3.3,6.4,-0.4,4,0.9934,0.0011451148414023853,0.5494,0.007036471274722863
-3.2,6.4,-0.4,4,0.9892,0.0014617359542680771,0.451,0.007037030623778754
-3.1,6.4,-0.4,4,0.979,0.002027757381937002,0.3526,0.006756822330060189
-3.0,6.4,-0.4,4,0.9672,0.002518894995826545,0.2578,0.006186099902200093
-2.9,6.4,-0.4,4,0.9462,0.0031907854832313614,0.1838,0.005477546165939635
-2.8,6.4,-0.4,4,0.9246,0.003734028387679987,0.1294,0.004746696535486548
-2.7,6.4,-0.4,4,0.8654,0.0048266518415978595,0.0952,0.004150589355742146
-2.6,6.4,-0.4,4,0.8118,0.005527761934092315,0.062,0.003410454515163631
-2.5,6.4,-0.4,4,0.7356,0.006236868444981022,0.048,0.0030231109804305894
-3.5,6.5,-0.4,4,0.9988,0.0004896039215529179,0.6788,0.006603492409324024
-3.4,6.5,-0.4,4,0.9956,0.000936017093861,0.6134,0.006886805355170131
-3.3,6.5,-0.4,4,0.9938,0.0011100954913880142,0.5216,0.007064466575757862
-3.2,6.5,-0.4,4,0.9822,0.0018699283408729886,0.411,0.006958146304871722
-3.1,6.5,-0.4,4,0.975,0.0022079402165819627,0.311,0.006546434143867943
-3.0,6.5,-0.4,4,0.9582,0.0028302918577418814,0.2266,0.005920345260202313
-2.9,6.5,-0.4,4,0.9316,0.0035699142846852784,0.1622,0.00521327459472451
-2.8,6.5,-0.4,4,0.884,0.004528664262230089,0.1106,0.004435485091847339
-2.7,6.5,-0.4,4,0.8378,0.00521327459472451,0.0714,0.0036414843127494045
-2.6,6.5,-0.4,4,0.776,0.005896168247260249,0.0568,0.0032733395790843335
-2.5,6.5,-0.4,4,0.6988,0.006488120837345741,0.0528,0.003162662169755094
-3.5,5.5,-0.3,4,1.0,0.0,0.928,0.0036555710908146746
-3.4,5.5,-0.3,4,1.0,0.0,0.869,0.004771561589249373
-3.3,5.5,-0.3,4,1.0,0.0,0.8044,0.005609645978134449
-3.2,5.5,-0.3,4,0.9998,0.00019997999899988897,0.7212,0.006341459768854487
-3.1,5.5,-0.3,4,0.9982,0.0005994597567810576,0.6262,0.006842127739234339
-3.0,5.5,-0.3,4,0.9982,0.0005994597567810576,0.5226,0.007063840881560117
-2.9,5.5,-0.3,4,0.992,0.0012598412598418905,0.398,0.006922369536509879
-2.8,5.5,-0.3,4,0.9856,0.0016847931623792855,0.3076,0.006526595437132594
-2.7,5.5,-0.3,4,0.9758,0.0021732169703000204,0.2132,0.005792162981132351
-2.6,5.5,-0.3,4,0.9512,0.0030469184432800286,0.1376,0.004871678150288666
-2.5,5.5,-0.3,4,0.9248,0.003729476102618169,0.0952,0.004150589355742146
-3.5,5.6,-0.3,4,1.0,0.0,0.9048,0.004150589355742145
-3.4,5.6,-0.3,4,0.9996,0.0002827861382741226,0.8406,0.005176710152210572
-3.3,5.6,-0.3,4,0.9996,0.0002827861382741226,0.7684,0.005965927253998325
-3.2,5.6,-0.3,4,0.9998,0.00019997999899988897,0.68,0.006596969000988257
-3.1,5.6,-0.3,4,0.9976,0.0006919884392097831,0.577,0.0069867159667471816
-3.0,5.6,-0.3,4,0.9946,0.001036420763975709,0.4712,0.007059328013345179
-2.9,5.6,-0.3,4,0.9916,0.0012906928372002353,0.3578,0.0067790730929825505
-2.8,5.6,-0.3,4,0.9828,0.0018387038913321523,0.2628,0.0062247274639135805
-2.7,5.6,-0.3,4,0.964,0.002634539808012019,0.186,0.00550279928763534
-2.6,5.6,-0.3,4,0.944,0.0032515842292642535,0.1238,0.004657758259076999
-2.5,5.6,-0.3,4,0.9066,0.004115250660652399,0.0818,0.003875790500014158
-3.5,5.7,-0.3,4,0.9998,0.00019997999899988897,0.8698,0.0047591587491908685
-3.4,5.7,-0.3,4,0.9996,0.0002827861382741226,0.811,0.005536768010310707
-3.3,5.7,-0.3,4,0.9996,0.0002827861382741226,0.731,0.006271188085203632
-3.2,5.7,-0.3,4,0.9988,0.0004896039215529179,0.62,0.006864400920692206
-3.1,5.7,-0.3,4,0.998,0.0006318227599572528,0.5202,0.007065294898303962
-3.0,5.7,-0.3,4,0.9944,0.0010553331227626706,0.4346,0.007010318680345424
-2.9,5.7,-0.3,4,0.9868,0.0016140483264140506,0.3182,0.006587089797475057
-2.8,5.7,-0.3,4,0.9714,0.002357203427793196,0.236,0.0060050645292119885
-2.7,5.7,-0.3,4,0.9524,0.0030111207215918786,0.1454,0.0049851547618905475
-2.6,5.7,-0.3,4,0.9172,0.003897285208962772,0.1038,0.0043133643481625804
-2.5,5.7,-0.3,4,0.869,0.004771561589249373,0.0738,0.003697392594788928
-3.5,5.8,-0.3,4,1.0,0.0,0.8486,0.005069083546362201
-3.4,5.8,-0.3,4,0.9992,0.0003998399679871993,0.7604,0.0060364201311704615
-3.3,5.8,-0.3,4,0.9988,0.0004896039215529179,0.671,0.006644682084193344
-3.2,5.8,-0.3,4,0.9974,0.0007201722016295889,0.5912,0.00695244647588171
-3.1,5.8,-0.3,4,0.9954,0.000956957679315031,0.4846,0.0070677130671809255
-3.0,5.8,-0.3,4,0.99,0.0014071247279470295,0.3666,0.006814755168015943
-2.9,5.8,-0.3,4,0.9824,0.0018595827488982549,0.276,0.006321771903509332
-2.8,5.8,-0.3,4,0.9644,0.0026204060754012907,0.194,0.005592208865913361
-2.7,5.8,-0.3,4,0.9324,0.0035504996831432047,0.1274,0.004715278146620833
-2.6,5.8,-0.3,4,0.8938,0.004357099034908433,0.0846,0.003935551803750015
-2.5,5.8,-0.3,4,0.8304,0.005307275007006892,0.0604,0.0033690307211422105
-3.5,5.9,-0.3,4,0.9998,0.00019997999899988897,0.8126,0.005518717967064452
-3.4,5.9,-0.3,4,0.9994,0.0003463062228721987,0.7242,0.00632035378756601
-3.3,5.9,-0.3,4,0.9978,0.0006625948988635484,0.6268,0.006839908771321442
-3.2,5.9,-0.3,4,0.996,0.0008926365441768563,0.5316,0.007056931911248684
-3.1,5.9,-0.3,4,0.992,0.0012598412598418905,0.417,0.006972962067873307
-3.0,5.9,-0.3,4,0.9842,0.0017635396224638695,0.3402,0.006700208354969269
-2.9,5.9,-0.3,4,0.9754,0.002190654696660337,0.2418,0.0060552912398992
-2.8,5.9,-0.3,4,0.9496,0.0030938597253269257,0.1688,0.0052972928935447776
-2.7,5.9,-0.3,4,0.9136,0.003973286800622377,0.1164,0.004535439118762371
-2.6,5.9,-0.3,4,0.8726,0.0047152781466208325,0.07,0.003608323710533743
-2.5,5.9,-0.3,4,0.8002,0.005654731823879891,0.0532,0.003173948959892077
-3.5,6.0,-0.3,4,0.9992,0.0003998399679871993,0.7774,0.0058830135134979936
-3.4,6.0,-0.3,4,0.9988,0.0004896039215529179,0.6834,0.006578213131238604
-3.3,6.0,-0.3,4,0.997,0.0007734339015067807,0.5848,0.006968629133480989
-3.2,6.0,-0.3,4,0.9932,0.0011622185680843365,0.4934,0.0070704517536010385
-3.1,6.0,-0.3,4,0.9884,0.00151429455523026,0.3856,0.006883496785791361
-3.0,6.0,-0.3,4,0.9798,0.001989570807988497,0.2984,0.0064708181862883464
-2.9,6.0,-0.3,4,0.9606,0.002751277521443447,0.199,0.00564621997446079
